metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1782180261,1.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_duration,1782180261,725.409140,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_blocked,1782180261,1.167251,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_connecting,1782180261,0.274655,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_tls_handshaking,1782180261,0.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_sending,1782180261,0.269464,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_waiting,1782180261,722.278077,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_receiving,1782180261,2.861599,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
http_req_failed,1782180261,0.000000,,,,true,::setup,GET,http://springboot-api:8080/api/products?page=0&size=50,HTTP/1.1,,,200,,,http://springboot-api:8080/api/products?page=0&size=50,,
data_sent,1782180261,112.000000,,,,,::setup,,,,,,,,,,,
data_received,1782180261,32143.000000,,,,,::setup,,,,,,,,,,,
iteration_duration,1782180261,728.408768,,,,,::setup,,,,,,,,,,,
http_reqs,1782180261,1.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_duration,1782180261,172.745003,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_blocked,1782180261,0.344490,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_connecting,1782180261,0.279273,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_tls_handshaking,1782180261,0.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_sending,1782180261,0.029327,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_waiting,1782180261,172.073682,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_receiving,1782180261,0.641994,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
http_req_failed,1782180261,0.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=30&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=30&size=20,,
checks,1782180261,1.000000,GET 200,,,,,,,,default,,,,,,,
error_rate,1782180261,0.000000,,,,,,,,,default,,,,,,,
vus,1782180261,1.000000,,,,,,,,,,,,,,,,
vus_max,1782180261,20.000000,,,,,,,,,,,,,,,,
data_sent,1782180261,113.000000,,,,,,,,,default,,,,,,,
data_received,1782180261,11479.000000,,,,,,,,,default,,,,,,,
iteration_duration,1782180261,274.459459,,,,,,,,,default,,,,,,,
iterations,1782180261,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1782180261,1.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_duration,1782180261,167.391372,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_blocked,1782180261,0.006292,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_connecting,1782180261,0.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_tls_handshaking,1782180261,0.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_sending,1782180261,0.030880,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_waiting,1782180261,166.733061,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_receiving,1782180261,0.627431,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
http_req_failed,1782180261,0.000000,,,,true,,GET,http://springboot-api:8080/api/products?page=65&size=20,HTTP/1.1,default,,200,,,http://springboot-api:8080/api/products?page=65&size=20,,
checks,1782180261,1.000000,GET 200,,,,,,,,default,,,,,,,
error_rate,1782180261,0.000000,,,,,,,,,default,,,,,,,
data_sent,1782180261,113.000000,,,,,,,,,default,,,,,,,
data_received,1782180261,11945.000000,,,,,,,,,default,,,,,,,
iteration_duration,1782180261,268.626114,,,,,,,,,default,,,,,,,
iterations,1782180261,1.000000,,,,,,,,,default,,,,,,,
